Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
4137,0.38,Ideal,I,VVS1,61.6,56.0,4.68,4.71,2.89,791
22494,0.39,Premium,D,VS2,61.3,58.0,4.73,4.7,2.89,1024
18240,0.9,Very Good,E,SI1,61.7,58.0,6.15,6.2,3.81,4795
2800,2.06,Premium,H,SI1,62.4,59.0,8.11,8.07,5.05,14863
20218,1.58,Premium,G,VS1,62.4,60.0,7.46,7.38,4.63,14451
2780,0.52,Ideal,G,VVS2,61.5,56.0,5.18,5.2,3.19,1911
12983,1.17,Ideal,I,VS1,61.5,57.0,6.74,6.79,4.16,5892
23615,2.48,Very Good,I,SI2,63.0,62.0,8.58,8.62,5.42,17448
12510,0.76,Premium,D,SI1,61.1,59.0,5.93,5.88,3.61,2847
7838,1.54,Premium,I,SI2,61.5,61.0,7.41,7.31,4.53,6278
26136,0.3,Premium,H,SI1,60.8,61.0,4.3,4.25,2.6,540
21280,1.02,Good,E,VS2,63.2,60.0,6.29,6.34,3.99,6462
400,0.32,Premium,G,VS2,62.3,58.0,4.41,4.36,2.73,720
17555,1.0,Fair,G,SI2,64.6,67.0,6.25,6.19,4.02,3142
7870,0.51,Ideal,E,VS2,62.5,55.0,5.08,5.13,3.19,1656
12805,0.4,Ideal,J,VS1,61.5,58.0,4.73,4.76,2.92,633
21826,0.73,Ideal,J,VS2,62.3,55.0,5.74,5.78,3.59,2101
19908,0.32,Ideal,I,VS2,62.2,57.0,4.39,4.42,2.74,449
20278,0.7,Ideal,D,SI2,62.6,54.0,5.69,5.72,3.57,2936
10510,0.28,Ideal,G,VVS1,61.8,55.0,4.19,4.23,2.6,650
19525,0.9,Very Good,H,VS2,63.1,60.0,6.12,6.08,3.85,3919
414,2.36,Ideal,H,SI2,62.2,55.0,8.51,8.56,5.3,17569
9855,0.42,Premium,F,VS1,61.9,55.0,4.82,4.78,2.97,1103
12553,0.34,Ideal,G,IF,61.9,55.0,4.51,4.54,2.8,974
15009,2.11,Ideal,I,VS2,60.3,61.0,8.29,8.22,4.98,16512
7693,1.24,Fair,G,SI2,65.7,57.0,6.72,6.68,4.4,4058
13557,0.3,Good,G,VVS1,63.1,58.0,4.28,4.31,2.71,789
19066,0.41,Very Good,J,VS1,60.8,61.0,4.72,4.79,2.89,647
7316,0.9,Ideal,E,SI2,62.6,56.0,6.15,6.06,3.82,3200
19135,0.42,Very Good,G,VS2,62.1,55.0,4.8,4.83,2.99,854
16111,1.23,Ideal,I,SI1,62.1,58.0,6.82,6.86,4.25,5600
21183,0.51,Premium,E,SI2,60.3,56.0,5.22,5.19,3.14,1205
17065,2.11,Premium,I,SI2,,56.0,8.23,8.13,5.1,13701
19499,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3618
23923,0.32,Ideal,G,IF,61.0,56.0,4.41,4.44,2.7,918
7062,1.51,Very Good,H,SI1,59.9,55.0,7.44,7.52,4.48,9218
6551,2.19,Very Good,I,SI2,60.3,60.0,8.29,8.33,5.01,15907
26245,1.55,Ideal,F,SI1,61.9,55.0,7.47,7.42,4.61,14220
1036,0.38,Premium,F,SI1,60.4,58.0,4.72,4.68,2.84,898
391,0.41,Very Good,F,SI1,63.4,58.0,4.75,4.68,2.99,852
2539,1.0,Ideal,D,SI1,61.7,57.0,6.39,6.42,3.95,5489
16872,0.35,Premium,H,VS1,61.7,59.0,4.53,4.51,2.79,788
6103,1.01,Very Good,D,SI2,59.8,57.0,6.51,6.57,3.91,4260
4777,0.31,Ideal,G,VS2,61.4,57.0,4.35,4.45,2.7,544
10542,0.36,Ideal,F,VVS2,62.4,55.0,4.54,4.57,2.84,896
9247,0.3,Fair,F,SI1,64.6,56.0,4.27,4.25,2.75,599
5105,1.19,Ideal,F,SI1,62.1,56.0,6.81,6.84,4.24,5937
5630,0.72,Ideal,F,SI2,62.0,55.0,5.75,5.79,3.58,2224
2968,0.31,Premium,I,VS2,59.8,60.0,4.42,4.38,2.63,558
22346,0.85,Fair,G,I1,62.7,60.0,6.05,5.96,3.77,1651
16284,0.38,Ideal,E,SI1,61.9,55.0,4.7,4.64,2.89,898
1796,1.21,Ideal,H,SI1,62.2,54.0,6.8,6.86,4.25,6876
11560,1.01,Premium,E,VS2,60.9,58.0,6.53,6.47,3.96,7522
23811,0.26,Very Good,E,VVS1,62.9,58.0,4.06,4.08,2.56,599
21469,1.06,Premium,H,SI1,61.6,59.0,6.55,6.54,4.03,4872
24518,0.7,Good,F,VS1,59.7,63.0,5.76,5.79,3.45,2819
7508,0.24,Ideal,F,VS1,62.7,54.0,3.99,4.02,2.51,572
2126,0.31,Ideal,H,VVS2,62.2,57.0,4.32,4.36,2.7,625
2956,0.35,Ideal,G,VS2,61.0,57.0,4.54,4.57,2.78,633
24852,0.51,Good,H,SI1,,56.0,5.07,5.1,3.24,1119
24540,0.52,Premium,D,VVS1,,61.0,5.31,5.27,3.11,2553
26864,0.4,Very Good,E,SI1,62.8,59.0,4.64,4.69,2.93,737
19984,0.3,Very Good,G,VVS2,61.8,59.0,4.22,4.26,2.62,684
17071,1.0,Ideal,F,VS1,61.7,55.0,6.42,6.39,3.95,7056
15337,0.94,Fair,H,SI2,66.0,50.1,6.13,6.17,4.06,3353
9061,0.71,Very Good,I,SI1,58.9,59.0,5.78,5.84,3.42,2141
12537,0.57,Good,D,SI1,62.2,64.0,5.29,5.23,3.27,1847
110,0.41,Very Good,H,VVS2,62.0,56.0,4.77,4.81,2.97,873
1846,0.31,Very Good,H,VVS2,61.2,60.0,4.37,4.39,2.68,625
15926,1.24,Ideal,G,SI1,62.7,56.0,6.89,6.85,4.31,4916
9057,1.01,Very Good,D,SI2,62.8,59.0,6.34,6.44,4.01,4588
69,0.51,Ideal,D,SI2,59.8,55.0,5.23,5.17,3.11,1359
839,2.05,Premium,J,VS2,62.3,60.0,8.15,8.09,5.06,13667
21500,0.54,Very Good,F,VS2,63.0,56.8,5.18,5.22,3.28,1745
20377,0.76,Premium,H,VS2,58.7,61.0,5.99,5.96,3.51,2622
8836,0.31,Ideal,D,VVS2,61.6,54.0,4.37,4.4,2.7,840
14308,0.39,Premium,J,VVS1,62.8,58.0,4.66,4.61,2.91,921
8080,1.62,Very Good,E,SI2,60.8,59.0,7.57,7.62,4.62,9355
9781,1.18,Premium,H,SI2,,57.0,6.81,6.73,4.17,4956
22951,0.41,Ideal,D,SI1,62.2,57.0,4.7,4.76,2.94,791
23003,1.01,Ideal,G,VVS2,60.9,56.0,6.51,6.55,3.98,8029
15564,1.2,Very Good,E,SI2,61.4,58.0,6.81,6.88,4.2,6130
2238,0.9,Very Good,H,VS2,62.3,59.0,6.1,6.17,3.82,4328
3785,0.7,Very Good,E,VS1,62.8,57.0,5.65,5.68,3.56,3145
11001,0.33,Ideal,G,IF,62.1,56.0,4.41,4.44,2.75,984
5258,0.9,Very Good,G,SI1,62.0,58.0,6.14,6.18,3.82,3841
23648,0.55,Premium,F,SI1,60.7,57.0,5.3,5.27,3.21,1415
2608,1.0,Ideal,G,VVS1,61.9,57.0,6.43,6.39,3.97,8366
26610,1.51,Premium,G,VS2,61.3,58.0,7.39,7.33,4.51,16091
26634,0.41,Ideal,J,VS2,62.3,54.0,4.77,4.8,2.98,613
409,0.41,Fair,D,VVS2,64.5,57.0,4.68,4.65,3.01,1089
21114,0.24,Premium,D,VS2,61.4,55.0,4.05,3.99,2.47,485
14053,0.4,Very Good,E,SI2,63.1,57.0,4.72,4.7,2.97,798
26041,1.5,Ideal,F,VS2,60.2,57.0,7.43,7.39,4.46,13653
14216,1.75,Ideal,F,SI2,62.9,57.0,7.71,7.59,4.81,11113
16473,0.31,Premium,G,SI1,62.6,58.0,4.29,4.34,2.7,462
13017,0.33,Ideal,G,VVS1,61.8,55.0,4.47,4.5,2.77,838
4619,1.21,Very Good,F,VVS2,61.0,58.0,6.89,6.92,4.21,11455
17640,0.55,Ideal,F,SI2,61.2,56.0,5.29,5.23,3.22,1263
19172,0.81,Very Good,G,SI1,62.5,60.0,5.89,5.94,3.69,2806
10427,0.6,Very Good,G,SI1,63.1,57.0,5.32,5.41,3.39,1565
15697,1.01,Premium,J,VS2,61.0,61.0,6.28,6.22,3.81,3722
13891,0.32,Ideal,H,VVS2,62.0,55.0,4.42,4.39,2.73,828
21179,0.41,Premium,D,VVS1,61.6,58.0,4.78,4.74,2.93,1582
611,2.04,Premium,F,SI2,60.2,58.0,8.17,8.24,4.94,18066
332,0.7,Ideal,H,VS2,62.4,58.0,5.67,5.71,3.55,2429
11669,0.64,Ideal,G,VVS1,61.9,56.0,5.53,5.56,3.43,2766
11042,2.02,Premium,F,SI2,,59.0,8.2,8.13,4.98,11962
23244,0.37,Ideal,F,VS1,61.1,56.0,4.64,4.65,2.84,846
21409,1.23,Premium,F,VVS2,61.6,59.0,6.9,6.8,4.22,11534
24114,0.9,Fair,F,VS2,58.9,67.0,6.18,6.17,3.64,3992
4883,0.96,Fair,H,I1,69.2,56.0,5.97,5.83,4.08,1739
15199,0.55,Premium,E,SI1,,59.0,5.25,5.28,3.22,1551
7832,1.14,Very Good,I,VS1,63.3,56.0,6.68,6.6,4.2,5148
5246,0.34,Premium,F,SI2,61.7,61.0,4.48,4.44,2.75,574
7709,0.55,Premium,E,SI2,61.9,58.0,5.24,5.2,3.23,1273
18740,0.48,Premium,H,VS1,60.7,61.0,5.04,5.01,3.05,1270
5066,1.27,Premium,J,VS2,62.8,58.0,6.96,6.92,4.36,4011
13080,0.72,Good,H,SI2,65.8,59.0,5.51,5.58,3.65,1945
13146,2.43,Very Good,H,SI2,63.2,57.0,8.56,8.5,5.39,16170
552,0.62,Ideal,D,VS2,61.2,56.0,5.49,5.52,3.37,2243
12835,0.3,Very Good,D,VS2,62.5,57.0,4.26,4.28,2.67,670
6629,0.31,Premium,G,VS2,62.6,57.0,4.32,4.3,2.7,698
19046,1.04,Very Good,E,SI1,62.8,59.0,6.46,6.41,4.04,5689
5676,1.34,Very Good,H,SI2,61.1,63.0,7.08,7.01,4.3,4352
26759,1.01,Ideal,J,SI1,62.9,56.0,6.4,6.35,4.01,3818
16442,2.0,Fair,F,I1,66.1,57.0,7.84,7.7,5.14,6532
25753,0.7,Ideal,E,VS2,61.5,57.0,5.67,5.78,3.52,2980
20946,0.31,Premium,D,VS2,62.5,52.0,4.4,4.37,2.74,816
15324,0.3,Fair,G,VVS1,58.6,66.0,4.36,4.41,2.57,790
6772,1.08,Very Good,H,VVS1,63.1,57.0,6.57,6.52,4.13,6623
2585,0.54,Ideal,F,VS1,60.9,57.0,5.26,5.21,3.19,1866
13425,0.31,Premium,G,VVS1,59.8,62.0,4.41,4.35,2.62,977
23929,0.41,Ideal,G,VS1,62.4,57.0,4.7,4.75,2.95,899
16802,1.02,Very Good,D,SI1,60.3,56.0,6.55,6.57,3.96,6863
1583,0.3,Ideal,G,VVS1,61.4,56.0,4.34,4.32,2.66,945
13208,1.03,Premium,G,VS2,62.3,59.0,6.38,6.42,3.99,6214
24506,0.3,Premium,G,VVS1,,59.0,4.33,4.37,2.64,789
6831,2.13,Very Good,G,SI2,61.5,57.0,8.27,8.34,5.11,15454
26316,0.52,Ideal,D,VS2,62.1,57.0,5.13,5.17,3.2,1689
1804,0.9,Very Good,I,SI1,60.6,56.0,6.23,6.28,3.79,3730
16248,1.5,Very Good,F,VS1,61.6,58.0,7.35,7.43,4.55,15022
11036,0.5,Ideal,H,IF,61.0,56.0,5.15,5.17,3.15,1923
24682,0.37,Ideal,E,VVS2,62.2,56.0,4.63,4.6,2.87,1082
131,1.56,Premium,G,VS2,61.9,58.0,7.44,7.4,4.59,13299
26387,0.32,Ideal,E,VS2,61.9,56.0,4.4,4.36,2.71,900
8980,0.72,Ideal,E,VS1,62.1,54.0,5.74,5.76,3.57,3690
9211,1.38,Fair,G,SI2,61.2,59.0,7.19,7.13,4.38,4730
25854,0.93,Very Good,D,SI2,62.6,57.0,6.2,6.26,3.9,4214
3146,1.28,Premium,E,VS1,60.8,60.0,7.03,6.98,4.26,12100
13648,1.52,Very Good,E,SI1,63.5,58.0,7.36,7.29,4.65,11176
25810,0.74,Premium,D,SI1,62.4,59.0,5.73,5.8,3.6,3036
21590,1.11,Very Good,H,SI2,59.8,60.0,6.66,6.75,4.01,4456
12513,0.38,Ideal,F,VS2,62.0,56.0,4.66,4.63,2.88,1026
5854,0.5,Very Good,G,VS2,60.9,58.0,5.08,5.1,3.1,1351
17540,0.75,Very Good,E,VVS1,62.3,57.0,5.73,5.83,3.6,4889
26734,0.41,Ideal,G,VS2,60.9,56.0,4.82,4.84,2.94,949
20808,1.51,Good,I,VS1,65.8,57.0,7.09,7.17,4.69,8210
14566,0.55,Very Good,F,VS2,61.6,56.1,5.29,5.31,3.27,1777
18056,0.33,Ideal,F,VVS1,62.4,54.0,4.44,4.47,2.78,880
25047,1.02,Very Good,G,VS2,63.4,59.0,6.32,6.3,4.0,6169
8873,1.09,Ideal,E,IF,60.1,58.0,6.68,6.72,4.03,15193
1838,0.74,Ideal,I,VS1,60.7,55.0,5.84,5.88,3.56,2609
17378,1.53,Ideal,F,SI1,61.5,56.0,7.38,7.42,4.56,12616
10019,0.54,Premium,E,VS2,59.2,58.0,5.35,5.32,3.16,1847
21155,0.52,Very Good,I,VS1,61.5,56.3,5.16,5.19,3.18,1262
19603,0.55,Premium,G,VS2,59.6,59.0,5.36,5.32,3.18,1556
12993,0.7,Very Good,G,IF,63.0,59.0,5.58,5.62,3.53,3725
4896,1.2,Ideal,H,VS2,61.2,59.0,6.84,6.89,4.2,7072
3058,1.01,Very Good,E,VS1,59.4,59.0,6.52,6.54,3.88,8348
24437,0.51,Good,H,VS1,59.4,61.9,5.18,5.2,3.08,1376
6193,0.32,Ideal,I,VS2,63.0,57.0,4.37,4.33,2.74,576
26430,0.41,Ideal,F,IF,61.6,56.0,4.79,4.82,2.96,1439
16332,1.05,Premium,E,SI1,61.2,58.0,6.57,6.53,4.01,5433
4433,0.4,Very Good,G,VVS2,61.6,58.0,4.73,4.78,2.93,925
21596,0.63,Premium,H,VVS1,61.3,61.0,5.49,5.44,3.35,2177
11969,1.01,Good,F,SI2,56.9,60.0,6.68,6.64,3.79,4077
8191,0.36,Ideal,G,SI1,61.5,54.0,4.6,4.63,2.84,571
21133,1.02,Premium,F,SI2,62.5,58.0,6.47,6.4,4.02,3754
1372,1.01,Very Good,E,SI1,64.1,56.0,6.29,6.35,4.05,5479
10182,0.57,Ideal,F,VS2,60.8,57.0,5.34,5.37,3.25,1869
10746,0.35,Ideal,J,VS2,,55.0,4.55,4.57,2.8,446
7578,0.3,Ideal,F,SI1,62.3,53.9,4.28,4.31,2.68,499
442,0.71,Very Good,H,SI1,,57.0,5.65,5.61,3.55,2207
6940,0.32,Ideal,H,VS2,62.0,55.0,4.42,4.39,2.73,648
16143,0.4,Ideal,E,VS1,62.0,54.0,4.77,4.74,2.95,1125
23714,1.01,Premium,J,SI2,63.0,60.0,6.38,6.31,4.0,3421
7642,0.34,Ideal,G,VS1,61.3,55.0,4.52,4.55,2.78,898
19849,0.7,Good,F,SI1,64.3,63.0,5.58,5.55,3.58,2059
4037,1.5,Good,F,VS2,63.6,59.0,7.13,7.22,4.56,10995
11378,0.4,Premium,F,SI1,62.2,57.0,4.72,4.67,2.92,945
2629,0.5,Fair,G,VVS2,64.9,58.0,5.0,4.95,3.23,1712
24390,0.41,Ideal,F,IF,61.4,56.0,4.81,4.83,2.96,1439
9473,0.7,Good,I,VS2,63.6,58.0,5.57,5.59,3.55,2010
8074,2.01,Premium,J,SI1,60.3,56.0,8.02,7.96,4.82,11188
6910,0.39,Ideal,F,VS1,61.7,56.1,4.65,4.7,2.89,939
6388,1.51,Good,I,VVS1,64.0,60.0,7.21,7.26,4.63,9301
23781,0.33,Very Good,F,SI1,59.9,61.0,4.44,4.47,2.67,550
17113,0.71,Ideal,E,VS2,61.6,56.0,5.71,5.75,3.53,3381
12229,1.57,Premium,G,SI2,61.1,61.0,7.46,7.43,4.55,8572
3279,0.5,Good,H,VVS1,63.3,57.0,5.02,5.06,3.19,1596
1325,1.01,Very Good,G,SI2,62.9,56.0,6.36,6.39,4.01,4176
10655,0.77,Premium,F,SI1,60.0,61.0,5.97,5.93,3.57,2745
14742,0.31,Very Good,G,VS2,58.8,62.0,4.4,4.41,2.59,471
15,1.5,Fair,G,VS2,66.2,53.0,7.12,7.08,4.7,10644
17814,2.05,Fair,I,VS1,67.7,58.0,7.74,7.68,5.22,17408
22593,1.04,Premium,G,VS1,62.0,56.0,6.53,6.46,4.03,6996
14038,0.42,Ideal,I,VVS1,60.2,57.0,4.85,4.88,2.93,884
15871,0.82,Very Good,E,SI1,63.2,57.0,5.92,5.97,3.76,2741
15539,0.33,Very Good,G,VVS2,60.0,63.0,4.45,4.49,2.68,752
5426,1.56,Ideal,F,VS1,61.7,56.0,7.48,7.46,4.61,17455
315,0.59,Ideal,H,VS2,62.2,59.0,5.38,5.34,3.33,1648
22909,0.52,Ideal,E,VS2,61.0,55.0,5.2,5.26,3.19,1651
2805,1.53,Fair,J,VS2,64.7,58.0,7.24,7.22,4.68,6659
20393,0.36,Premium,J,SI1,61.6,60.0,4.58,4.54,2.81,527
17232,0.54,Ideal,D,SI1,62.4,57.0,5.23,5.19,3.25,1786
10481,1.09,Ideal,G,VS1,60.5,57.0,6.69,6.73,4.06,7078
14167,0.42,Ideal,G,VS1,62.7,54.0,4.8,4.83,3.02,921
3933,0.31,Ideal,F,VS2,,57.0,4.34,4.3,2.71,802
16167,0.7,Very Good,G,SI1,61.7,57.0,5.65,5.8,3.53,2010
10599,0.72,Very Good,D,SI2,59.8,60.0,5.76,5.81,3.46,2294
4761,0.9,Very Good,H,VS2,62.0,57.0,6.1,6.16,3.8,4155
25581,0.95,Very Good,J,VS1,62.4,57.0,6.25,6.29,3.91,3365
15541,2.0,Fair,J,I1,66.5,56.0,7.93,7.8,5.23,6796
6318,0.7,Very Good,H,SI1,61.5,57.0,5.64,5.68,3.48,2107
24643,0.41,Very Good,F,VS2,63.2,57.0,4.76,4.74,3.0,1107
24272,1.28,Ideal,H,SI1,61.8,57.0,7.02,6.97,4.32,7109
14127,0.55,Premium,I,VS2,61.7,55.0,5.35,5.29,3.28,1314
15671,0.33,Very Good,G,VVS2,63.0,56.0,4.42,4.47,2.8,672
6529,2.0,Ideal,J,VS2,61.0,57.0,8.08,8.13,4.94,14323
1894,1.06,Ideal,D,SI1,62.7,54.0,6.52,6.55,4.1,5946
19210,1.6,Very Good,E,SI2,62.0,57.0,7.47,7.54,4.65,9900
26154,1.01,Very Good,E,SI2,,58.0,6.45,6.49,3.94,4566
25957,0.33,Ideal,D,VS2,,57.0,4.47,4.42,2.75,1002
24687,1.2,Ideal,H,SI1,62.2,58.0,6.81,6.77,4.22,6569
165,0.5,Very Good,E,VS1,63.9,55.0,4.98,5.03,3.2,1604
13394,0.82,Ideal,G,SI2,61.6,56.0,5.98,6.04,3.7,2692
20241,0.44,Good,F,SI1,63.8,54.0,4.85,4.8,3.08,970
18095,0.4,Ideal,E,VS2,62.3,56.0,4.75,4.72,2.95,975
23976,1.2,Good,E,VS2,61.8,61.0,6.69,6.71,4.14,8563
4715,2.04,Ideal,J,SI1,61.7,57.0,8.11,8.17,5.02,14130
6849,1.0,Premium,D,SI2,60.9,59.0,6.46,6.41,3.92,5286
21952,1.03,Fair,G,SI1,64.7,63.0,6.36,6.31,4.1,4424
12998,1.04,Premium,G,SI2,62.9,58.0,6.47,6.43,4.06,4277
20868,0.91,Very Good,D,SI1,62.1,59.0,6.1,6.18,3.81,4466
19599,0.34,Ideal,G,VVS1,62.1,57.0,4.47,4.45,2.77,956
12000,0.41,Ideal,F,VS2,61.8,56.0,4.76,4.79,2.95,863
2747,0.9,Very Good,D,SI1,60.9,57.0,6.22,6.26,3.8,4438
1917,0.7,Good,F,SI1,63.1,56.0,5.63,5.66,3.56,2127
4566,0.31,Ideal,D,VS2,61.6,57.0,4.36,4.38,2.69,734
19624,0.5,Ideal,D,VVS2,62.5,53.0,5.05,5.13,3.18,2475
17658,0.3,Premium,G,VVS2,61.9,59.0,4.25,4.28,2.64,684
20657,1.5,Fair,F,VS2,65.3,57.0,7.15,7.12,4.66,13853
7853,1.01,Good,D,SI2,65.1,57.0,6.27,6.32,4.1,4468
21870,1.01,Premium,I,SI2,60.5,61.0,6.47,6.42,3.9,3761
18222,1.01,Very Good,E,VS1,60.9,55.0,6.48,6.58,3.98,7094
3171,1.21,Very Good,I,SI1,62.1,56.0,6.76,6.92,4.25,5324
19422,0.31,Ideal,G,VVS2,60.0,58.0,4.38,4.42,2.64,661
26496,0.32,Ideal,F,VS2,61.5,56.0,4.42,4.4,2.71,828
14652,1.53,Ideal,H,VVS2,62.2,57.0,7.32,7.37,4.57,13629
21202,0.42,Ideal,I,VVS2,61.2,57.0,4.83,4.87,2.97,1299
107,1.0,Premium,F,VVS2,60.6,54.0,6.56,6.52,3.96,8924
3790,0.34,Ideal,E,SI1,61.4,54.0,4.53,4.5,2.77,765
3155,2.01,Premium,J,VS1,60.1,59.0,8.25,8.18,4.94,15185
15428,0.32,Ideal,H,SI1,61.5,55.0,4.41,4.43,2.72,434
6840,0.9,Ideal,G,VVS1,,56.0,6.22,6.24,3.83,6680
26052,1.51,Premium,F,SI1,62.2,59.0,7.34,7.3,4.55,11607
15625,1.63,Premium,I,VS2,61.0,60.0,7.62,7.59,4.64,10479
19262,0.78,Ideal,E,VS2,62.1,54.0,5.92,5.94,3.68,3159
22510,0.6,Ideal,D,VVS2,61.9,55.0,5.41,5.45,3.36,3382
14424,2.1,Premium,G,SI2,60.9,57.4,8.17,8.27,5.0,16112
12259,0.51,Very Good,E,VS2,60.2,62.0,5.16,5.27,3.14,1393
6213,0.3,Premium,H,VVS2,62.0,58.0,4.3,4.35,2.68,605
14128,0.7,Ideal,I,SI2,61.3,57.0,5.7,5.73,3.5,1961
1080,0.4,Good,J,VS2,64.0,57.0,4.67,4.7,3.0,591
1557,0.31,Ideal,D,VS2,62.7,57.0,4.3,4.34,2.71,734
9510,1.06,Premium,G,SI1,62.7,56.0,6.55,6.46,4.08,5183
7227,1.3,Premium,D,SI2,61.5,58.0,6.98,6.91,4.27,7044
7158,0.93,Premium,J,VS2,61.1,59.0,6.34,6.32,3.87,3125
23971,0.36,Premium,E,VS2,60.3,59.0,4.64,4.58,2.78,1013
388,0.71,Ideal,F,VS1,61.1,57.0,5.76,5.82,3.54,3013
12926,1.12,Very Good,I,SI1,60.6,60.0,6.73,6.77,4.09,4312
26854,0.39,Very Good,H,VVS2,62.4,57.0,4.67,4.7,2.92,784
24616,0.31,Ideal,E,SI2,60.1,57.0,4.44,4.41,2.66,558
15209,1.03,Good,D,SI2,59.3,58.0,6.57,6.61,3.91,4671
983,0.32,Ideal,E,SI1,,54.0,4.42,4.45,2.73,516
1173,1.24,Premium,H,VS2,61.2,59.0,6.89,6.93,4.23,6850
1266,0.8,Premium,G,VS1,62.5,58.0,5.9,5.94,3.7,3514
9589,0.26,Very Good,H,VVS2,62.5,56.0,4.07,4.09,2.55,486
406,1.09,Ideal,G,SI1,62.2,56.0,6.6,6.55,4.09,4970
6816,0.32,Ideal,F,VS2,61.9,56.0,4.39,4.37,2.71,828
